id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,"This is Tommy—Tommy, this is Chris over at Mazda. You were talking to Billy last night.",1,17,46.7,93.56,46.57,,8.5,41.18,0,0,5.88,0,0,0,0,0,29.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,5.88,0,0,0,0,5.88,11.76,5.88,11.76,0
2,"Of course. Hey good buddy, how have you been?",1,9,10.19,99,10.18,99,4.5,88.89,0,0,11.11,0,11.11,11.11,0,0,44.44,0,33.33,11.11,11.11,0,0,22.22,0,0,11.11,11.11,0,11.11,11.11,0,0,0,0,33.33,11.11,0,0,0,0,11.11,0,11.11,0,0
3,"I've been good, my friend. I thought I was pretty aggressive right from the start. I took a $3,500 discount—which is almost a 12% discount for you—and now Billy tells me I need to take another $1,500 because my 12% discount isn’t good enough. Where did that come from?",1,51,10.19,1,99,1,12.75,64.71,15.69,0,1.96,7.84,1.96,1.96,0,0,31.37,0,15.69,1.96,1.96,1.96,3.92,0,5.88,0,7.84,1.96,5.88,7.84,5.88,1.96,0,1.96,0,7.84,3.92,0,0,1.96,0,1.96,3.92,9.8,5.88,0
4,It’s not the 12% discount that’s the issue. It’s the add-ons.,1,11,6.68,1,5.07,,5.5,45.45,0,0,0,9.09,0,0,0,0,36.36,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0
5,"Sir, every dealer has add-ons. When was the last time you shopped for a car?",1,15,59.67,99,63.35,,7.5,53.33,0,0,6.67,0,6.67,0,0,6.67,40,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,6.67,0,0,0,20,6.67,6.67,0
6,About three months ago.,1,4,26.1,,99,,4,75,0,0,0,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0
7,Nice. I’m sure you saw plenty of fees out there.,1,10,39.7,89.5,98.38,99,5,50,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0
8,"And I had them all removed, with about a 10% discount.",1,11,45.12,40.06,5.07,,11,45.45,9.09,0,0,9.09,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,0,0
9,And I’ve already given you over a 10% discount—even with the fees.,1,13,53.56,81.78,81.58,,13,38.46,7.69,0,7.69,7.69,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,23.08,0,0
10,That’s what I’m saying. Where are we missing each other?,1,10,1,40.06,98.38,,5,60,10,10,0,0,10,10,0,0,40,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,0,0,30,0
11,"It comes down to the fees. Are you buying a car, Tommy, or are you buying fees?",1,17,64.21,99,83.69,,8.5,35.29,0,0,11.76,0,0,0,0,0,17.65,0,5.88,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,17.65,0
12,I'm buying your car.,1,4,1,99,89.39,,4,50,25,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0
13,So who cares how the out-the-door number gets there? I could have a million dollars in fees and sell you the car for a dollar. It doesn’t matter. It’s about the out-the-door number. And I’m aggressive on this out-the-door number. How much lower have you found anywhere else? I know I’m not the only Mazda store you've called.,1,58,6.83,30.46,78.21,20.23,8.29,44.83,6.9,0,5.17,1.72,0,0,0,0,32.76,3.45,15.52,6.9,3.45,1.72,1.72,0,3.45,0,3.45,1.72,1.72,1.72,0,1.72,0,1.72,0,12.07,5.17,1.72,0,1.72,0,1.72,0,5.17,10.34,0
