id,speaker,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,d,This is Miranda.,1,3,1,,,,3,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0
2,b,"Hey Miranda, you said you're in sales?",1,7,18.12,99,24.32,,7,57.14,0,0,28.57,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,28.57,0,0,0,0,28.57,0,14.29,14.29,0
3,d,Yes.,1,1,,,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,b,Awesome. I'm hoping you can help me out. I want to see if you have a car available on your lot.,1,21,18.12,88.15,5.94,99,7,57.14,14.29,0,14.29,0,4.76,4.76,0,0,23.81,0,19.05,0,0,14.29,9.52,0,4.76,0,14.29,14.29,0,9.52,9.52,0,0,0,0,19.05,4.76,4.76,0,0,0,0,0,0,9.52,4.76
5,d,New or used?,1,3,10.19,1,99,99,3,100,0,0,0,0,0,0,0,0,100,0,66.67,0,33.33,0,33.33,0,33.33,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0
6,b,It's brand new.,1,3,1,,99,99,3,66.67,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0
7,d,And who do I have the pleasure of speaking with?,1,10,39.7,40.06,7.03,99,10,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,0,0,0,20,10,0,0,0,0,10,0,0,0,0
8,b,This is Tommy.,1,3,1,,,,3,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0
9,d,"Tommy, got it. What's the vehicle?",1,6,10.19,,,,3,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
10,b,It is stock number 4710.,1,5,3.8,,,,5,40,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
11,d,"Okay, hold on one second. Camry LE?",1,7,99,,,,3.5,28.57,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,b,"Yes, correct.",1,2,,,,,2,50,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,d,So this one is here and available. Were you thinking about coming out and taking a look at it?,1,19,6.22,90.88,93.14,,9.5,26.32,0,0,5.26,5.26,0,0,0,0,15.79,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,5.26,5.26,0
14,b,"I'll tell you my dilemma. I thought I already had a car bought. I had a deal with Toyota of Atlanta. But the lady in charge now really wants this Macadamia interior. So now I have to find this Macadamia interior. I already have a deal; I like the deal. Worst case, I’ll tell her no she can't have the interior. But I'm hoping you match this deal and I can just buy your car instead.",1,76,2.68,3.34,89.39,20.23,9.5,52.63,14.47,0,3.95,0,0,0,0,0,27.63,1.32,13.16,2.63,0,5.26,1.32,1.32,5.26,0,2.63,1.32,1.32,1.32,1.32,0,0,0,0,10.53,3.95,0,1.32,0,0,2.63,5.26,6.58,7.89,7.89
15,d,Okay. What's the deal?,1,4,26.1,,,,2,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
16,b,"It's 10% off MSRP, no add-ons.",1,6,10.19,1,,,6,50,0,0,0,16.67,0,0,0,0,33.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
17,d,"Okay. We are doing $4,759 under MSRP and it's going for $26,610.",1,12,10.19,98.75,39.59,,6,50,0,8.33,0,16.67,8.33,8.33,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,16.67,8.33
18,b,"$26,610. Can you get that written down for me?",1,9,33.38,92.24,10.18,,4.5,55.56,11.11,0,11.11,11.11,0,0,0,0,22.22,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,0,11.11,11.11,0
19,d,"I cannot. I can talk to my manager, but we typically don’t send out that type of stuff because we try to do everything while you’re here. We’re very particular with how we do things. We don’t want to give you a number and then have you shop it around. We want you to see the number here, like the number, and then buy the car. We don’t want competitors to see our discounts. That’s what helps us sell 600 cars a month.",1,83,2.12,99,9.35,37.57,11.86,50.6,3.61,10.84,4.82,1.2,15.66,12.05,2.41,2.41,25.3,1.2,13.25,1.2,2.41,7.23,1.2,0,3.61,0,1.2,1.2,0,0,0,0,0,0,0,20.48,3.61,1.2,0,0,0,1.2,4.82,0,12.05,0
20,b,"Yeah, I understand. So that's obviously a crazy discount. Are there any add-ons or fees?",1,15,1,1.24,93.95,,5,53.33,6.67,0,0,0,0,0,0,0,40,0,26.67,6.67,0,0,13.33,6.67,6.67,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0
21,d,The add-ons are required fees,1,5,89.52,,,,5,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
22,b,Okay. So no protection package or anything like that?,1,9,1,1,10.18,,4.5,33.33,0,0,0,0,0,0,0,0,33.33,11.11,22.22,0,0,0,22.22,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
