id,speaker,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,dic,i,we,you,number,drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,b,Hello.,1,1,,,,99,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0
2,d,"Hello, looking to speak with Tommy.",1,6,99,,,99,6,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,33.33,33.33,0,16.67,0,0,33.33,0,0,0,0
3,b,This is him.,1,3,1,99,1,,3,66.67,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0
4,d,"Hey Tommy, this is John. How are you?",1,8,1,99,15.38,,4,62.5,0,0,12.5,0,0,0,0,0,37.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,0,0,25,0
5,b,doing well. How about yourself?,1,5,1,99,63.35,99,2.5,60,0,0,20,0,0,0,0,0,20,0,20,20,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
6,d,I'm doing good. Looks like you're after a TRd Pro 4Runner in Terra.,1,13,53.56,81.78,81.58,99,6.5,46.15,7.69,0,7.69,7.69,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,7.69,7.69,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,23.08,0
7,b,Yes.,1,1,,,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,d,We have one available. It's in transit; arriving in about two weeks.,1,12,49.68,98.75,99,,6,41.67,0,8.33,0,16.67,8.33,8.33,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,8.33,0
9,b,Okay. What numbers would you be on it?,1,8,1,99,1,,4,25,0,0,12.5,0,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0
10,d,"TRd Pros are hard to come by, last of the gen, so they'll be MSRP.",1,15,59.67,77.41,63.35,,15,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,6.67,6.67
11,b,People want the new 2025 redesign. I'm trying to get the leftover model.,1,13,96.67,40.06,1,99,6.5,46.15,7.69,0,0,7.69,7.69,0,7.69,0,30.77,0,15.38,0,0,15.38,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,7.69,0
12,d,That's not true; older gens went up in value. Look at the market.,1,13,96.67,1,99,1,6.5,38.46,0,0,0,0,0,0,0,0,30.77,0,15.38,0,0,0,0,0,7.69,0,15.38,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,7.69,0
13,b,"Either way, I'm hoping to get a little deal. I can get MSRP anywhere.",1,14,18.12,1,72.58,98.65,7,42.86,14.29,0,0,0,0,0,0,0,35.71,0,28.57,0,0,14.29,14.29,0,7.14,0,7.14,7.14,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14
14,d,Have you seen any sell under MSRP?,1,7,56.86,99,24.32,,7,42.86,0,0,14.29,0,0,0,0,0,14.29,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,14.29,0,0
15,b,"Yes, a dealer is discussing $1,500 off.",1,7,99,,,,7,57.14,0,0,0,14.29,0,0,0,0,28.57,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,14.29,0
16,d,Then you should buy that one.,1,6,1,99,1,,6,66.67,0,0,16.67,16.67,0,0,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0
17,b,"So you want to lose local business? I'm not asking for crazy discounts. If your manager did $750 off to keep it local, we'd have a deal.",1,27,16.08,92.24,27.44,20.23,9,51.85,3.7,3.7,7.41,3.7,11.11,3.7,3.7,3.7,22.22,0,11.11,0,0,3.7,3.7,0,7.41,0,11.11,3.7,3.7,3.7,0,0,0,0,0,18.52,3.7,0,0,0,0,3.7,0,3.7,3.7,0
18,d,Who offered you that? Which dealership?,1,6,1,99,39.59,99,3,66.67,0,0,16.67,0,0,0,0,0,33.33,0,16.67,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,50,16.67,16.67,0,0,0,0,0,16.67,0,0
19,b,Toyota ____.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,d,Why didn't you buy it?,1,5,1,40.06,63.35,,5,60,0,0,20,0,0,0,0,0,40,0,40,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0
21,b,because I just talked to them and then you called.,1,10,1,99,63.35,,10,70,10,0,10,0,0,0,0,0,30,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,20,10,20,0,0
22,d,I can sell you ours at MSRP with accessories. It'll be an MSRP deal.,1,14,18.12,99,1,,7,35.71,7.14,7.14,7.14,0,7.14,7.14,0,0,14.29,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,7.14,7.14
23,b,Hard to justify when I could drive to California and save $750.,1,12,26.1,6.61,89.39,,12,41.67,8.33,0,0,8.33,0,0,0,0,25,0,16.67,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0
24,d,Not if you're not giving me the car at $750 under MSRP.,1,12,26.1,1,99,,12,50,8.33,0,8.33,8.33,0,0,0,0,33.33,0,25,0,0,0,8.33,0,25,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0
25,b,do you have their offer in writing or verbal?,1,9,1.78,99,77.17,,9,66.67,0,0,11.11,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,55.56,33.33,0,0,0,0,22.22,0,0,0,0
26,b,He was about to give me numbers. He's calling me now but I'll stay with you.,1,16,1,40.06,89.39,,8,75,18.75,0,6.25,0,0,0,0,0,37.5,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,25,6.25,0,0,0,0,0,6.25,6.25,18.75,18.75
27,d,You can take that call if it's a better deal.,1,10,1,89.5,1,99,10,60,0,0,10,0,10,0,10,0,30,0,20,0,0,10,10,0,10,0,10,10,0,0,0,0,0,0,0,20,10,0,0,0,0,10,0,0,20,0
28,b,Are you a sales manager?,1,5,39.7,99,,,5,60,0,0,20,0,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,0
